email,phone,fname,lastn,size
emem950,2024950956,Frazer,workneh,10.5
emem951,2024950957,Emebet,sahlemariam,10.5
emem952,2024950958,Frazer,workneh,10.5
emem953,2024950959,Emebet,sahlemariam,10.5
emem954,2024950960,Frazer,workneh,10.5
emem955,2024950961,Emebet,sahlemariam,10.5
emem956,2024950962,Frazer,workneh,10.5
emem957,2024950963,Emebet,sahlemariam,10.5
emem958,2024950964,Frazer,workneh,10.5
emem959,2024950965,Emebet,sahlemariam,10.5
emem960,2024950966,Frazer,workneh,10.5
emem961,2024950967,Emebet,sahlemariam,10.5
emem962,2024950968,Frazer,workneh,10.5
emem963,2024950969,Emebet,sahlemariam,10.5
emem964,2024950970,Frazer,workneh,10.5
emem965,2024950971,Emebet,sahlemariam,10.5
emem966,2024950972,Frazer,workneh,10.5
emem967,2024950973,Emebet,sahlemariam,10.5
emem968,2024950974,Frazer,workneh,10.5
emem969,2024950975,Emebet,sahlemariam,10.5
emem970,2024950976,Frazer,workneh,10.5
emem971,2024950977,Emebet,sahlemariam,10.5
emem972,2024950978,Frazer,workneh,10.5
emem973,2024950979,Emebet,sahlemariam,10.5
